"","x","y"
"9553025",842940,-241680
"14384464",759030,-260760
"36479207",718110,-347970
"50282657",719130,-402450
"21033356",699540,-287010
"46263110",760590,-386580
"10641143",878190,-245970
"17709814",870420,-273870
"55963581",808440,-424860
"12333847",808620,-252660
"26513694",700050,-308640
"33779424",675270,-337320
"3619409",697860,-218280
"48712062",803490,-396240
"56754651",825420,-427980
"7475414",766800,-233490
"28740238",683580,-317430
"23542581",726390,-296910
"32774532",856500,-333330
"47788890",699960,-392610
"27718069",802560,-313380
"40472887",812760,-363720
"55089037",795570,-421410
"40554155",742470,-364050
"38852363",767430,-357330
"18226324",859680,-275910
"21159795",844230,-287490
"26092041",820140,-306960
"15261611",849990,-264210
"9793816",769710,-242640
"31219048",710100,-327210
"13360871",835290,-256710
"54034057",842340,-417240
"32694095",723690,-333030
"35971846",775290,-345960
"45474964",831330,-383460
"18961766",804030,-278820
"10373690",835650,-244920
"12129531",835950,-251850
"34175360",695790,-338880
"42175418",809970,-370440
"35038504",822720,-342270
"18261512",775170,-276060
"9671947",762120,-242160
"15803690",694200,-266370
"10599321",763680,-245820
"28942349",818130,-318210
"25051233",836010,-302850
"3339412",735060,-217170
"32550478",747750,-332460
"14040215",692910,-259410
"15990843",836070,-267090
"7374553",705360,-233100
"31362258",673830,-327780
"4358518",752220,-221190
"49476945",718950,-399270
"37142116",766770,-350580
"23957487",859950,-298530
"4251720",740700,-220770
"22037141",713130,-290970
"26220842",807660,-307470
"19273864",817740,-280050
"18156545",818580,-275640
"25437192",785250,-304380
"37376526",730140,-351510
"29287688",688920,-319590
"45725991",837150,-384450
"37006229",794700,-350040
"15592646",747720,-265530
"22538196",694800,-292950
"49089351",720660,-397740
"17878832",696270,-274560
"50038890",703080,-401490
"17995689",781530,-275010
"10069365",827100,-243720
"4676285",707970,-222450
"12478618",819180,-253230
"37963597",783960,-353820
"25130502",705750,-303180
"16685387",693630,-269850
"9210269",821610,-240330
"19431488",757830,-280680
"13939588",866520,-258990
"46064024",716790,-385800
"37125389",721020,-350520
"39698554",841830,-360660
"30493728",841380,-324330
"14436271",717030,-260970
"20297375",739020,-284100
"39569019",832290,-360150
"23241918",827700,-295710
"19910723",768990,-282570
"44568374",769200,-379890
"15015674",768840,-263250
"35637376",774510,-344640
"28102260",698760,-314910
"867928",700290,-207420
"7840942",787200,-234930
"12084413",850590,-251670
"32407526",791760,-331890
"6728749",713790,-230550
"36495427",748650,-348030
"55592166",839460,-423390
"34744808",676980,-341130
"27072788",826680,-310830
"55789701",836730,-424170
"12091093",822960,-251700
"20761127",741750,-285930
"38116277",803760,-354420
"12662194",853740,-253950
"6166347",715950,-228330
"49038500",791340,-397530
"15896542",743400,-266730
"15353730",877200,-264570
"36979303",671010,-349950
"17826051",709050,-274350
"12668012",800250,-253980
"50548876",724650,-403500
"29672069",818850,-321090
"28895098",768780,-318030
"20964490",685830,-286740
"45353210",827190,-382980
"43792466",751020,-376830
"51568282",750810,-407520
"19676875",822480,-281640
"57940614",831630,-432660
"48294625",822030,-394590
"37303290",813360,-351210
"43551936",832080,-375870
"26532768",816210,-308700
"38662263",765180,-356580
"49423119",700380,-399060
"36860339",750570,-349470
"46055107",677310,-385770
"35414471",700230,-343770
"31588140",837420,-328650
"51354647",726600,-406680
"57408663",835200,-430560
"7831724",738690,-234900
"12296278",821700,-252510
"30516800",849450,-324420
"51949680",791250,-409020
"12020582",759900,-251430
"26189214",770940,-307350
"53456253",838500,-414960
"35889250",805740,-345630
"15479743",781080,-265080
"13736453",701250,-258210
"26484320",730950,-308520
"18572569",757650,-277290
"43592998",695760,-376050
"37690494",799950,-352740
"18932893",849960,-278700
"7544545",788460,-233760
"32530575",834750,-332370
"23218679",814620,-295620
"30612559",757830,-324810
"37593361",850350,-352350
"23640963",713460,-297300
"16799186",687150,-270300
"28196074",776820,-315270
"7621465",815760,-234060
"22083868",746760,-291150
"10613883",744480,-245880
"27976760",810270,-314400
"7526680",708570,-233700
"17211948",756390,-271920
"7880390",830490,-235080
"52398147",791490,-410790
"41764161",785880,-368820
"14048931",726360,-259440
"7134382",797190,-232140
"44259119",840780,-378660
"16306054",715140,-268350
"13839836",838350,-258600
"45861611",801210,-384990
"44269513",696540,-378720
"2997936",752130,-215820
"7147477",733980,-232200
"28893614",724260,-318030
"14151106",827220,-259830
"16127539",832410,-267630
"6074715",703350,-227970
"30409184",813390,-324000
"16436886",763590,-268860
"51995982",812130,-409200
"20261662",807780,-283950
"6068617",748440,-227940
"55217695",778800,-421920
"19233983",761460,-279900
"4549168",770970,-221940
"15892368",846210,-266700
"39047994",707580,-358110
"52444263",806790,-410970
"36083326",699240,-346410
"22277304",849090,-291900
"49378724",736710,-398880
"41376188",776220,-367290
"43131677",765960,-374220
"30345845",737460,-323760
"28398231",684720,-316080
"49893742",681210,-400920
"40708997",827130,-364650
"3787313",718320,-218940
"15524800",764610,-265260
"18811369",852720,-278220
"43399449",818070,-375270
"26703620",697080,-309390
"35835834",799470,-345420
"54198672",764130,-417900
"54800444",802920,-420270
"29494985",751020,-320400
"21064476",721020,-287130
"2320149",713190,-213150
"25054136",695070,-302880
"28673290",727410,-317160
"43957902",697440,-377490
"15539407",746760,-265320
"34939907",829200,-341880
"51972592",794520,-409110
"35940161",736860,-345840
"29951465",763620,-322200
"52253107",772860,-410220
"46248874",789570,-386520
"34089021",841980,-338520
"49061562",799110,-397620
"18195693",852870,-275790
"11828761",706020,-250680
"33391990",681780,-335790
"16171651",787590,-267810
"51414904",710070,-406920
"28274028",835140,-315570
"20838170",772740,-286230
"23597107",765960,-297120
"30205134",848700,-323190
"38231223",831690,-354870
"49400879",717270,-398970
"34636779",856560,-340680
"41545401",835950,-367950
"18033454",774330,-275160
"40844195",778530,-365190
"54124797",828180,-417600
"2578559",712470,-214170
"48527973",753540,-395520
"24303620",754560,-299910
"48253362",724290,-394440
"45136625",714480,-382140
"10415193",712560,-245100
"35955176",731250,-345900
"28451899",698550,-316290
"23702755",742980,-297540
"21312234",856800,-288090
"47015197",748230,-389550
"18892462",777180,-278550
"45183548",753990,-382320
"34897874",708360,-341730
"37118849",752850,-350490
"17247603",685890,-272070
"19120326",772200,-279450
"40415811",696690,-363510
"39224495",757920,-358800
"49886336",687060,-400890
"5369706",759870,-225180
"30177275",697020,-323100
"6723824",794070,-230520
"49495525",820290,-399330
"20525384",738390,-285000
"23088205",776910,-295110
"22725217",832710,-293670
"37856143",752760,-353400
"19399941",723540,-280560
"22237515",795570,-291750
"44893567",719700,-381180
"39925868",820350,-361560
"25177140",736710,-303360
"25183431",697410,-303390
"27076145",699360,-310860
"55827577",832860,-424320
"18119811",856710,-275490
"27609545",739260,-312960
"20883584",766980,-286410
"10673930",721650,-246120
"17903299",746190,-274650
"41980870",674280,-369690
"16883908",720480,-270630
"23638596",870480,-297270
"12969912",736050,-255180
"26392882",724170,-308160
"22899329",811380,-294360
"25414935",801630,-304290
"50747117",743100,-404280
"19239149",688410,-279930
"14924350",765480,-262890
"17829993",827310,-274350
"25739479",732660,-305580
"12637188",787650,-253860
"19355517",759000,-280380
"32461543",816060,-332100
"38861985",828060,-357360
"17131210",842580,-271590
"10120235",756990,-243930
"54306106",794730,-418320
"35487543",840120,-344040
"50848887",831810,-404670
"25439460",853290,-304380
"20015291",713610,-282990
"34460848",823320,-339990
"21322913",721110,-288150
"33654500",804060,-336810
"48209462",775470,-394260
"26065761",715830,-306870
"2418652",703890,-213540
"47375691",845640,-390960
"14824600",737370,-262500
"43376606",816870,-375180
"26563267",819060,-308820
"8283687",843810,-236670
"19298386",869310,-280140
"27715436",723570,-313380
"9659054",831390,-242100
"51310659",775140,-406500
"21342127",841470,-288210
"33401871",750180,-335820
"19567520",734250,-281220
"43512956",802830,-375720
"37747922",698550,-352980
"37388314",855750,-351540
"19604534",704520,-281370
"19075304",789720,-279270
"20031635",747870,-283050
"24301293",684750,-299910
"13519761",813360,-257340
"24291664",851940,-299850
"28648947",681210,-317070
"8894769",705840,-239100
"14467915",754230,-261090
"1650935",703410,-210510
"6007388",735810,-227700
"29209411",848940,-319260
"7697414",813930,-234360
"44878305",717900,-381120
"36041400",809640,-346230
"19560384",748200,-281190
"38033586",831360,-354090
"11397964",779820,-248970
"7094115",729330,-231990
"28278838",751410,-315600
"28027310",730560,-314610
"23072454",760440,-295050
"24922614",853950,-302340
"20877043",798780,-286380
"20877615",815940,-286380
"13442934",788850,-257040
"9909714",826200,-243090
"45767208",705480,-384630
"41070242",719040,-366090
"52275255",753210,-410310
"53721877",826170,-416010
"34285100",795570,-339300
"32063415",729780,-330540
"38732065",806970,-356850
"5438574",773640,-225450
"16869960",758100,-270570
"26047016",837570,-306780
"25928245",694890,-306330
"34696674",829170,-340920
"32375051",729630,-331770
"17799923",837330,-274230
"8015071",766380,-235620
"11657828",822720,-249990
"45687542",823830,-384300
"34113951",677760,-338640
"36896192",686010,-349620
"20853711",782910,-286290
"16299948",759990,-268320
"38410648",741720,-355590
"12175764",854760,-252030
"14470448",830220,-261090
"11998827",791340,-251340
"28170438",691830,-315180
"22994284",695640,-294750
"19921591",867000,-282600
"36977005",830100,-349920
"18209509",811290,-275850
"7711295",774300,-234420
"18768757",714510,-278070
"36965639",717150,-349890
"12210391",753420,-252180
"49272208",733650,-398460
"24059614",731340,-298950
"9841018",817590,-242820
"17974882",841410,-274920
"27352381",777360,-311940
"21867319",863160,-290280
"12956075",777000,-255120
"53415609",759330,-414810
"51243486",812220,-406230
"35793905",681750,-345270
"47248284",671910,-390480
"33434282",810390,-335940
"47438249",670110,-391230
"46071210",704340,-385830
"43254992",816930,-374700
"41844519",688290,-369150
"55705287",812640,-423840
"21207957",692880,-287700
"37994364",794850,-353940
"23671530",718350,-297420
"19121874",818640,-279450
"31108274",807330,-326760
"14415076",765270,-260880
"24180504",709560,-299430
"18424023",861870,-276690
"37127220",775950,-350520
"32185822",753510,-331020
"17952560",855840,-274830
"9833014",805500,-242790
"16909260",796950,-270720
"30559017",747780,-324600
"13176067",763890,-255990
"16774909",870960,-270180
"16034295",771450,-267270
"17414847",686550,-272730
"39254740",753150,-358920
"38581267",843630,-356250
"42764925",708840,-372780
"12600869",838230,-253710
"45451967",825510,-383370
"30232138",746700,-323310
"51956403",764910,-409050
"10471371",801690,-245310
"43267794",744930,-374760
"49723589",821310,-400230
"2495747",736440,-213840
"37026947",732150,-350130
"27304924",721830,-311760
"13915921",840600,-258900
"52076951",732870,-409530
"7747076",707580,-234570
"24620614",687120,-301170
"45034040",829350,-381720
"48990907",731730,-397350
"5847854",738420,-227070
"12821001",829320,-254580
"40018115",851400,-361920
"38881357",725130,-357450
"8105425",740640,-235980
"43540267",710040,-375840
"42061089",800550,-369990
"9792554",731850,-242640
"10217465",709500,-244320
"21683566",823290,-289560
"48452706",775830,-395220
"41085743",728010,-366150
"10106282",794460,-243870
"9976079",764880,-243360
"38016980",789240,-354030
"45145918",765240,-382170
"37520934",729810,-352080
"17044270",742710,-271260
"35111999",747270,-342570
"34955923",853620,-341940
"35152050",808650,-342720
"44037351",800610,-377790
"15779395",877470,-266250
"14914956",711690,-262860
"52169781",781410,-409890
"9284198",759180,-240630
"48141475",788130,-393990
"31051285",693870,-326550
"38752540",737130,-356940
"24188696",727290,-299460
"19825858",731370,-282240
"51668909",805230,-407910
"44584123",785610,-379950
"25206244",697710,-303480
"10291498",878220,-244590
"18006131",866760,-275040
"49774616",755910,-400440
"43745890",721920,-376650
"55256275",796050,-422070
"36686341",775320,-348780
"20604435",829620,-285300
"15062341",800670,-263430
"49449682",813180,-399150
"19357181",808920,-280380
"9523230",861210,-241560
"33807668",838500,-337410
"34636002",833250,-340680
"49706404",761820,-400170
"4502921",751740,-221760
"47991265",842430,-393390
"55743191",809610,-423990
"25631630",689610,-305160
"32786913",771870,-333390
"22041100",831900,-290970
"10369298",703890,-244920
"39080211",761970,-358230
"26327321",809610,-307890
"19741835",719010,-281910
"2693599",743220,-214620
"53773022",764310,-416220
"21486792",848850,-288780
"21286721",775500,-288000
"53980620",835440,-417030
"27519678",779610,-312600
"18399800",819270,-276600
"55470199",828930,-422910
"10582418",712650,-245760
"40427189",810000,-363540
"22394840",726690,-292380
"36456352",716550,-347880
"26597941",719130,-308970
"22033663",836820,-290940
"30126240",762180,-322890
"29260377",781710,-319470
"11938546",807150,-251100
"23303467",849930,-295950
"9526546",732660,-241590
"45872916",684300,-385050
"42623082",786120,-372210
"7633492",720510,-234120
"25025635",752160,-302760
"6236980",782670,-228600
"41361744",798960,-367230
"35027748",728070,-342240
"37690230",792030,-352740
"48443468",726720,-395190
"15193376",855210,-263940
"6296747",751440,-228840
"21226512",793470,-287760
"34190021",679560,-338940
"41619477",777930,-368250
"10213224",810300,-244290
"15443016",819420,-264930
"7362717",806340,-233040
"11674429",864690,-250050
"43261119",772710,-374730
"7203110",806760,-232410
"9256266",833340,-240510
"40335596",798570,-363180
"39825759",781470,-361170
"9245538",739530,-240480
"38311996",746550,-355200
"20577250",698160,-285210
"5308851",758460,-224940
"17273128",767550,-272160
"28052062",789030,-314700
"43086965",792780,-374040
"42780538",721170,-372840
"38062498",786600,-354210
"46119897",796770,-386010
"26083617",795450,-306930
"32367879",742500,-331740
"24120152",723240,-299190
"6418257",748260,-229320
"54011138",838860,-417150
"43509590",701850,-375720
"23638101",855630,-297270
"37964886",822630,-353820
"3309664",754740,-217050
"54914589",806820,-420720
"51977674",718950,-409140
"42772195",698910,-372810
"47028829",701130,-389610
"22754183",789570,-293790
"31641922",854670,-328860
"41616465",687570,-368250
"4988913",737580,-223680
"14310061",807240,-260460
"19711590",723780,-281790
"29926663",703650,-322110
"23090001",830790,-295110
"38181762",716040,-354690
"16180922",837690,-267840
"8069866",814020,-235830
"41783531",682890,-368910
"46724005",677610,-388410
"40805013",743220,-365040
"43904456",690270,-377280
"14220710",863070,-260100
"18338916",816990,-276360
"16043148",809010,-267300
"10159104",782910,-244080
"12060899",829260,-251580
"49670696",830730,-400020
"7163175",748860,-232260
"23324025",782580,-296040
"33586017",801840,-336540
"44957084",800970,-381420
"53515163",781560,-415200
"16576010",832770,-269400
"50161465",731850,-401970
"17835253",757080,-274380
"30676082",839280,-325050
"18307216",778110,-276240
"26994602",761400,-310530
"14453967",791850,-261030
"54276550",820170,-418200
"31572875",835530,-328590
"36391873",834450,-347610
"40456547",778620,-363660
"16269309",752940,-268200
"20502856",746640,-284910
"15188274",702150,-263940
"17275980",853110,-272160
"26107137",816960,-307020
"21208673",714360,-287700
"32618173",726330,-332730
"20078400",782640,-283230
"35816841",685740,-345360
"38275036",777900,-355050
"19554204",790830,-281160
"48077253",685710,-393750
"36114400",719340,-346530
"24677327",792300,-301380
"28741532",722400,-317430
"40289100",771870,-363000
"21709326",683970,-289680
"4921436",765540,-223410
"44766257",776910,-380670
"24227820",760860,-299610
"43575040",841110,-375960
"48036612",834660,-393570
"7285425",767880,-232740
"13141904",879150,-255840
"33546274",749700,-336390
"13110593",851940,-255720
"22274665",769920,-291900
"16599157",843090,-269490
"52367847",794610,-410670
"7838902",726000,-234930
"6731031",782250,-230550
"29783999",756300,-321540
"2684632",702240,-214590
"28524005",809460,-316560
"34435090",734670,-339900
"45280852",708720,-382710
"16694166",728970,-269880
"26627371",689910,-309090
"8225504",694530,-236460
"10792562",860160,-246570
"43540136",706110,-375840
"11893833",833940,-250920
"31264767",713490,-327390
"37376682",734820,-351510
"7648766",722670,-234180
"46543111",723510,-387690
"15018224",845340,-263250
"23782578",857370,-297840
"22393630",690390,-292380
"6115861",797580,-228120
"40508225",732750,-363870
"47912624",763500,-393090
"50840721",814860,-404640
"7254833",762240,-232620
"38333700",713580,-355290
"43955033",839400,-377460
"28368042",691170,-315960
"20030380",710220,-283050
"55705171",809160,-423840
"47345357",847740,-390840
"24303043",737250,-299910
"55934010",833430,-424740
"9858055",872640,-242880
"15769061",795480,-266220
"18639123",702000,-277560
"35345555",685020,-343500
"13975056",790410,-259140
"13976446",832110,-259140
"45525916",763680,-383670
"14733458",739470,-262140
"50357744",691440,-402750
"14745032",858660,-262170
"14925272",793140,-262890
"36669569",728220,-348720
"44012277",732480,-377700
"23513128",754920,-296790
"34358216",708750,-339600
"54565592",826290,-419340
"30118623",761700,-322860
"22648059",798270,-293370
"39295180",826200,-359070
"38876353",803040,-357420
"23476835",806280,-296640
"55743864",829800,-423990
"28202806",750750,-315300
"48647177",681180,-396000
"28474711",698820,-316380
"35217069",706950,-342990
"48773903",834480,-396480
"44536324",719820,-379770
"37693877",673410,-352770
"4265464",696960,-220830
"14726658",763500,-262110
"44877065",680700,-381120
"7025323",717840,-231720
"41870806",792810,-369240
"24790794",775860,-301830
"31020499",682410,-326430
"28272448",787740,-315570
"52436982",816390,-410940
"39762617",711450,-360930
"31140128",850830,-326880
"16636276",816510,-269640
"31538233",708390,-328470
"36615326",697140,-348510
"45349377",712200,-382980
"54505181",838200,-419100
"50802390",805080,-404490
"23118218",765180,-295230
"31841503",685290,-329670
"28917143",746040,-318120
"14962625",773580,-263040
"25435470",733590,-304380
"12343721",876810,-252690
"53167357",836760,-413820
"47674301",682740,-392160
"52581307",813570,-411510
"34492254",853380,-340110
"50278114",810870,-402420
"22038682",759360,-290970
"12325511",786570,-252630
"35847241",685620,-345480
"38639861",777210,-356490
"56130882",810810,-425520
"53150353",782700,-413760
"36581603",825600,-348360
"7363326",824610,-233040
"16429621",773670,-268830
"26402078",772020,-308190
"10173803",767820,-244140
"8800032",828120,-238710
"5420852",698040,-225390
"6046882",780480,-227850
"13969518",852300,-259110
"51396394",838860,-406830
"24921557",822240,-302340
"4357241",713910,-221190
"42297906",836130,-370920
"49624991",827760,-399840
"24103607",682950,-299130
"46922438",701820,-389190
"21919749",839850,-290490
"34633535",759240,-340680
"41240724",816840,-366750
"24120521",734310,-299190
"42266914",818490,-370800
"30483988",777210,-324300
"46147689",718410,-386130
"28128341",797100,-315000
"22460068",859290,-292620
"27921948",762120,-314190
"16511921",734340,-269160
"31834233",695220,-329640
"15204004",717990,-264000
"21203722",793860,-287670
"50997094",717420,-405270
"11605886",860670,-249780
"58396834",836430,-434460
"52975517",782310,-413070
"31899541",830220,-329880
"7688246",766920,-234330
"51683916",799380,-407970
"35026454",689250,-342240
"27011469",811350,-310590
"5696886",769980,-226470
"31641559",843780,-328860
"25560669",841080,-304860
"18328917",745050,-276330
"21763105",701130,-289890
"33645213",753480,-336780
"11441983",732210,-249150
"45868636",783930,-385020
"23747297",711060,-297720
"27430109",828900,-312240
"41458401",734280,-367620
"26156278",694980,-307230
"54391213",839610,-418650
"14988582",868200,-263130
"14398490",723750,-260820
"45600396",717780,-383970
"10128292",770670,-243960
"53379957",829920,-414660
"7431210",808860,-233310
"15213289",768510,-264030
"21686495",683130,-289590
"2692109",698520,-214620
"52846111",776640,-412560
"35436351",672540,-343860
"37036941",803940,-350160
"46093718",695490,-385920
"14532565",869490,-261330
"47701136",803700,-392250
"37569525",819360,-352260
"37742336",759000,-352950
"26545737",749220,-308760
"19247744",718230,-279960
"49944504",835890,-401100
"41623563",672480,-368280
"46095199",739920,-385920
"23126621",789240,-295260
"49127267",717990,-397890
"47853725",820770,-392850
"18153650",731730,-275640
"16148644",781470,-267720
"50076940",704430,-401640
"32514475",807810,-332310
"18095168",801510,-275400
"34955291",834660,-341940
"13138828",786870,-255840
"29196734",696660,-319230
"33762813",861030,-337230
"33108145",831570,-334650
"26157992",746400,-307230
"31464421",774330,-328170
"21926256",807030,-290520
"22074642",698010,-291120
"49833068",685230,-400680
"11818709",860520,-250620
"32687809",763140,-333000
"27817876",832380,-313770
"44645808",811920,-380190
"39211946",837510,-358740
"18826015",836040,-278280
"29444337",827790,-320190
"30117007",713220,-322860
"41548341",696120,-367980
"51813064",797310,-408480
"24649182",860070,-301260
"17038507",797850,-271230
"18831990",787260,-278310
"35418718",827640,-343770
"52231865",819690,-410130
"54861002",795420,-420510
"17241863",741720,-272040
"18130417",718830,-275550
"14949914",848310,-262980
"12380211",831360,-252840
"25877265",761700,-306120
"15671181",823470,-265830
"22653429",731340,-293400
"25192643",745740,-303420
"16054978",707850,-267360
"28968880",701940,-318330
"20018708",816120,-282990
"41332695",839610,-367110
"5164343",755790,-224370
"23694675",728610,-297510
"11517991",732150,-249450
"41482184",763680,-367710
"41893861",800370,-369330
"11375198",780930,-248880
"10704976",740910,-246240
"39178693",752040,-358620
"46779446",744630,-388620
"14682788",815580,-261930
"37750627",779700,-352980
"29869053",799590,-321870
"14918405",815160,-262860
"44375766",691710,-379140
"49600283",770610,-399750
"43129520",701250,-374220
"49744902",776610,-400320
"23412758",708210,-296400
"38530201",679830,-356070
"51484339",740850,-407190
"33408989",735690,-335850
"8541177",815490,-237690
"26939777",712860,-310320
"39641750",733920,-360450
"45566497",840960,-383820
"18877822",794040,-278490
"47092719",793590,-389850
"35362605",740460,-343560
"47056394",843990,-389700
"34892877",786480,-341700
"13124085",800640,-255780
"51342064",805170,-406620
"23214772",697410,-295620
"13593337",740340,-257640
"33129431",786060,-334740
"18578841",717780,-277320
"31329357",826950,-327630
"46104704",797040,-385950
"6017232",803100,-227730
"23879549",802110,-298230
"28664794",700560,-317130
"28388469",847920,-316020
"39862243",735840,-361320
"26759804",786390,-309600
"41476506",821370,-367680
"15356421",729900,-264600
"41702180",750690,-368580
"36845333",756450,-349410
"44170705",696690,-378330
"36184252",762630,-346800
"5293285",747540,-224880
"31272028",703290,-327420
"46637101",806850,-388050
"54130332",766200,-417630
"51236471",829800,-406200
"41346924",810420,-367170
"48897698",671820,-396990
"21228264",846030,-287760
"9437260",790440,-241230
"24465572",824490,-300540
"24313065",809880,-299940
"24873951",762240,-302160
"45075065",691920,-381900
"24865601",739770,-302130
"13543033",827430,-257430
"24556662",820830,-300900
"45092989",773580,-381960
"38343967",793560,-355320
"26720768",755460,-309450
"5611439",714900,-226140
"42614402",753750,-372180
