"","20241012_ndwi","20241112_ndwi","20241012_hsi","20241112_hsi","20241012_ndvi","20241112_ndvi","x","y"
"ndwi_pred.coord_1",-0.312038277127535,-0.3152267794964,0.410032043184838,0.385087714410757,0.100841541640699,0.0993376455936587,842940,-241680
"ndwi_pred.coord_2",-0.304074994732052,-0.30136505568763,0.40015401389342,0.398599541467435,0.0990612765666118,0.0998249313009036,759030,-260760
"ndwi_pred.coord_3",-0.264523847005375,-0.269040126433371,0.406008191632795,0.408588578907182,0.148083871528012,0.145230492961174,718110,-347970
"ndwi_pred.coord_4",-0.249635402742917,-0.246181775607401,0.331318902633645,0.338531401411216,0.092272612215401,0.085905382678334,719130,-402450
"ndwi_pred.coord_5",-0.307928561893336,-0.309544497154232,0.407819556163891,0.404161786351514,0.099208752714566,0.0999151265570638,699540,-287010
"ndwi_pred.coord_6",-0.251860904024084,-0.251336221021633,0.333446056106127,0.328801588154735,0.0750429527704021,0.0709790077505189,760590,-386580
"ndwi_pred.coord_7",-0.335923173111679,-0.337929959371694,0.604836938446594,0.604385122060269,0.267157329227877,0.268023372314212,878190,-245970
"ndwi_pred.coord_8",-0.295416386562151,-0.296638069281362,0.382498038474813,0.375474284829057,0.0888093920075261,0.0853558526978746,870420,-273870
"ndwi_pred.coord_9",-0.276829053847625,-0.274961150597307,0.357326037124419,0.365191527017028,0.091834903762028,0.0934234996157211,808440,-424860
"ndwi_pred.coord_10",-0.290007476460649,-0.292034848090874,0.388021325699241,0.385363340230894,0.0912188410636733,0.0858159735833359,808620,-252660
"ndwi_pred.coord_11",-0.304645997181784,-0.305253622953607,0.391429539806766,0.393609484988831,0.0937757391438584,0.0930137756282345,700050,-308640
"ndwi_pred.coord_12",-0.017882186211656,-0.0213173147510673,0.0174894651181881,0.0191149988101342,-0.00351755547419007,0.00136932519691317,675270,-337320
"ndwi_pred.coord_13",-0.00104557724586743,-0.000375149251936468,-0.0104432096769409,-0.0140347756240723,-0.0118607092820642,-0.0137447563913696,697860,-218280
"ndwi_pred.coord_14",-0.285346183553606,-0.284084185637888,0.381317875586731,0.388401148785198,0.0942801184802262,0.0879691286364008,803490,-396240
"ndwi_pred.coord_15",-0.263330762573469,-0.263022973802134,0.342421307074368,0.336297294838451,0.0848969941376694,0.0782431897010917,825420,-427980
"ndwi_pred.coord_16",-0.247480430839124,-0.246463230608643,0.305064958660304,0.30653439381041,0.0648713897326744,0.062463714432918,766800,-233490
"ndwi_pred.coord_17",-0.303775095616667,-0.304684503183544,0.411348273605592,0.413110161875779,0.11352297891843,0.105249238700592,683580,-317430
