Latitude,Longitude,NDWI,NDVI,HSI,DATA,COLECAO,MHTEMPMAX(media-harmonica-temperatura-maxima(C)),MHTEMPMIN(media-harmonica-temperatura-minima(C)),SUMCHUVA(soma-chuva(mm)),SUMPRECIPITACAO(soma-precipitacao(mm)),MHEVAPOTRANSPIRACAO(media-harmonica-soma-evapotranspiracao(mm))
-3.6693,-70179,-0.38271352648735,0.296600192785263,0.679313719272614,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.4736270904541,22.973419189453125,892.2999267578125,883.0,3.862361431121826
-3333,-69411,-0.355955094099045,0.278916209936142,0.634871304035187,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.954835891723633,23.322063446044922,730.800048828125,722.0000610351562,3.894562005996704
-2.7114,-87687,-0.361078500747681,0.281596273183823,0.642674803733826,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.60019302368164,23.742692947387695,12.5,12.5,4.205243110656738
-4.0686,-83898,-0.368261456489563,0.287208825349808,0.655470252037048,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.1033935546875,22.350801467895508,1.4000000953674316,1.4000000953674316,3.8309788703918457
-3.6585,-77016,-0.395520657300949,0.30013832449913,0.695658981800079,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.830785751342773,22.7489070892334,693.7000122070312,682.4000244140625,3.6658332347869873
-2.8248,-83136,-0.388535469770432,0.297775387763977,0.686310887336731,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.882320404052734,22.15469741821289,4.699999809265137,4.699999809265137,3.727022171020508
-3.4521,-71697,-0.240783840417862,0.181138813495636,0.421922653913498,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.888721466064453,23.96174430847168,798.4000244140625,794.300048828125,3.9927072525024414
-3.5442,-78567,-0.384934812784195,0.295345067977905,0.680279850959778,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,27.218717575073242,18.364917755126953,924.4000244140625,923.5999755859375,3.645982027053833
-3633,-72477,-0.387774527072906,0.297182738780975,0.684957265853882,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.739309310913086,23.7619571685791,709.10009765625,707.1000366210938,3.9712061882019043
-2049,-86925,-0.380781233310699,0.295294940471649,0.676076173782349,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.560171127319336,23.706069946289062,15.199999809265137,15.199999809265137,4.138813018798828
-2.1087,-68676,-0.367350548505783,0.286297202110291,0.653647780418396,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.22024917602539,23.30027198791504,596.4999389648438,576.8999633789062,4.049106121063232
-2.0649,-72462,-0.392517477273941,0.301223158836365,0.693740606307983,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.804670333862305,23.173690795898438,744.9000854492188,742.800048828125,4.017928600311279
-4.2888,-70197,-0.366793721914291,0.286127477884293,0.652921199798584,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.998355865478516,24.170984268188477,822.3999633789062,805.300048828125,3.8664093017578125
-3.5082,-77796,-0.358599752187729,0.282983660697937,0.641583442687988,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.02838706970215,22.334707260131836,742.2000732421875,739.7000122070312,3.7597692012786865
-3.3981,-79326,-0.366646766662598,0.286474138498306,0.653120875358582,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,27.050621032714844,14.411499977111816,141.6999969482422,141.6999969482422,4.601180553436279
-4.0704,-72483,-0.377485722303391,0.291840314865112,0.669326066970825,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.06871795654297,23.115697860717773,789.2999877929688,785.7000122070312,3.9672420024871826
-3.5106,-70176,-0.357771664857864,0.280953377485275,0.63872504234314,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.365840911865234,23.063365936279297,883.7999877929688,873.8999633789062,3.8586816787719727
-2.6157,-68676,-0.367350548505783,0.286297202110291,0.653647780418396,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.17498016357422,23.240312576293945,616.7000732421875,594.9000854492188,4.03048849105835
-3.1512,-83133,-0.381120443344116,0.295177131891251,0.676297545433044,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.72429656982422,21.950786590576172,1.5,1.5,3.667658805847168
-3.8691,-76287,-0.36306956410408,0.283559858798981,0.646629452705383,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.99295425415039,22.958810806274414,1142.800048828125,1124.10009765625,3.656586170196533
-3.2124,-70935,-0.29346838593483,0.216868728399277,0.510337114334106,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.538902282714844,22.999784469604492,837.3999633789062,828.6000366210938,3.9549293518066406
-2175,-84627,-0.367700695991516,0.285990029573441,0.653690695762634,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.877384185791016,23.097883224487305,7.600000381469727,7.200000286102295,3.958453416824341
-3.4782,-81603,-0.34443387389183,0.273939788341522,0.61837363243103,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.44326400756836,21.78087615966797,4.0,4.0,3.7120821475982666
-4.3047,-81612,-0.388227254152298,0.297945022583008,0.686172246932983,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,21.931289672851562,21.078454971313477,1.4000000953674316,1.4000000953674316,3.5765390396118164
-2.8362,-84657,-0.376060903072357,0.29095384478569,0.667014718055725,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.705196380615234,22.9536075592041,3.700000047683716,3.700000286102295,3.960841178894043
-2.1669,-70947,-0.363834410905838,0.285340189933777,0.649174571037292,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.52107810974121,23.349946975708008,760.1000366210938,750.2000122070312,3.9398996829986572
-2.4021,-79.32,-0.362320899963379,0.28393965959549,0.646260559558868,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,29.558547973632812,21.37955093383789,214.6000213623047,213.60000610351562,3.676654815673828
-3.2646,-86949,-0.351695209741592,0.278697997331619,0.630393207073212,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.403284072875977,23.542400360107422,9.700000762939453,9.700000762939453,4.205211639404297
-2865,-67134,-0.367545545101166,0.289456427097321,0.657001972198486,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.52306365966797,24.117162704467773,550.9999389648438,520.5999755859375,4.082101345062256
-4.1199,-70947,-0.363834410905838,0.285340189933777,0.649174571037292,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.880033493041992,23.492460250854492,885.300048828125,879.9000244140625,3.978074312210083
-3.7227,-73212,-0.218731388449669,0.173267036676407,0.391998410224915,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.791147232055664,24.3504695892334,845.5999755859375,844.3999633789062,3.9220399856567383
-4.1775,-81621,-0.374146401882172,0.290755182504654,0.664901614189148,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.031837463378906,21.246671676635742,1.600000023841858,1.600000023841858,3.5956931114196777
-3.4164,-77.79,-0.37749645113945,0.293777942657471,0.671274423599243,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.499059677124023,22.27204704284668,892.199951171875,884.4000244140625,3.731466770172119
-3.6285,-67902,-0.354085594415665,0.280305445194244,0.634391069412231,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,33.083614349365234,23.50034523010254,490.8000183105469,476.5000305175781,4.113645076751709
-2.2281,-77034,-0.353165537118912,0.277634620666504,0.630800127983093,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.389440536499023,22.008708953857422,817.0,815.9000244140625,3.574599504470825
-3.4152,-86955,-0.366534143686295,0.285907506942749,0.652441620826721,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.362886428833008,23.490707397460938,11.700000762939453,11.700000762939453,4.197786331176758
-2.4147,-73239,-0.401210218667984,0.304801911115646,0.70601212978363,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.694881439208984,23.156936645507812,874.0999145507812,867.5999145507812,4.008396148681641
-4.0647,-83115,-0.370960652828217,0.291637867689133,0.662598490715027,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.538148880004883,21.677448272705078,2.1000001430511475,2.1000001430511475,3.640739917755127
-4.1751,-83112,-0.383025974035263,0.29522117972374,0.678247153759003,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.535945892333984,21.661956787109375,2.799999952316284,2.8000001907348633,3.640653133392334
-3.8727,-86949,-0.351695209741592,0.278697997331619,0.630393207073212,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.3312931060791,23.422021865844727,15.800000190734863,15.80000114440918,4.258139610290527
